PI AD IGC FI FC
4 3.38 4.67 2.6 3.2
2.57 3 3.5 2.4 2.8
2.29 3.29 4.83 2 3.4
2.43 3.63 4.33 3.6 3.8
3 4 4.83 3.4 3.8
3.29 3.88 4.33 3.2 4.4
3.43 3.75 4.33 2.4 3.4
4.43 5 5 3.4 4.8
4 3.88 4.5 4 4
3.43 3.13 4.17 3.4 2.8
3.86 4.25 4.83 2 4.4
2.43 3.63 4.5 2 2.6
3.14 3.88 4.33 3 4
4.29 5 5 4.6 4.6
3.43 4.25 4.83 3.2 4.2
2.71 3.38 3.83 2.8 2.8
3 4.25 5 3 4.6
5 4.75 5 4 4.2
3.43 4.25 5 4.4 3.4
3.29 3.88 4.17 3 3.4
3.43 4.38 5 3 3.6
3.57 4.25 4.83 3.2 3.2
2.14 3.5 4.17 2.4 2.2
3.29 3.5 4 2.8 3.4
4.86 4.5 5 3 4.2
3.86 2.63 3.5 2.6 3.4
3.43 4.25 4.67 3 3.2
5 4.5 5 5 5
3.86 4.88 4.83 4.8 5
2.86 4.38 4.83 2 3.8
3.57 4 4.83 4.2 4.6
4.43 5 5 4.6 5
3.71 3.88 4.33 3.2 4
3.71 4.63 5 3.6 4.2
3 3.5 5 2 4
3.71 4.25 3.17 3.4 3.8
3.29 4.25 5 1.2 1.4
3.43 3.25 4.83 3 3.6
2.14 3.88 4.67 2.4 2.8
4 3.5 4.83 3.6 3.4
2.86 3.38 4.83 3 4.2
2.71 3.75 4.83 2.8 4.2
2.86 4.13 4.33 3 3.6
3 4.38 5 2 3
3.86 3.38 4.83 1.8 4.2
1.43 3.5 4 4 4.2
4.86 3.63 3.33 3.2 3
3 4.13 5 2.8 4.8
5 3.75 4.83 4.4 5
4 4 4.17 4 4
2.57 4.38 5 3 3.4
3 3.13 4.83 1.4 2.8
3.57 4.38 5 1.4 4.4
2.71 3.88 5 2.8 4
2.86 4.38 5 3.2 4.4
2.43 3 3.67 2.6 3
1.17 1.75 3.33 1 1
3.71 4.5 5 4.2 4.4
3.57 4.75 5 4.4 5
2.71 3.38 4.67 2.6 3.4
4 4.38 5 3.2 4.6
4.43 4.63 5 3 3.4
2.57 3.75 4.83 2.6 3.2
3.43 4.38 4.67 3 3.8
3.43 4.38 5 3 4.4
1.86 1.63 3.83 1 1.4
3 3.5 4.83 2.6 3.6
5 5 5 5 5
2.57 3.75 4.67 3.2 4.2
3.5 4.13 4.83 3 3.4
3.57 4.13 4.67 1 2.6
4 4 4.67 3.2 4.8
3.71 4 4.83 3 4.4
4.57 4.38 4.83 3.2 3.6
4.43 4.88 5 4 4.4
4.71 5 5 4.2 5
3.43 3.75 4.83 3.4 4
2.43 3.88 4.83 2.4 3.8
3.71 5 5 3.4 5
1.29 3.75 4 1 2.6
3.43 3.88 5 3 3.8
2.71 3.63 4.2 1.8 3
2.29 4 5 2.2 4.4
